ProjectName,FilePath,ExceptionType,InvokedMethods,ThrowException,IsCustomerExceptionThrown
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\NewVerificationsQueryConstructorVerificator.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\TypeConverter.java,InvocationTargetException,,RuntimeException,false
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\ZipArchiver.java,FileNotFoundException,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\ZipArchiver.java,IOException,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\filter\Filter.java,ParseException,printStackTrace,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\CalibratorEmployeeServiceImplTest.java,ParseException,,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\CalibratorEmployeeServiceImplTest.java,Exception,,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\CalibratorEmployeeServiceImplTest.java,ParseException,,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\provider\ProviderEmployeeServiceImplTest.java,ParseException,fail,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\provider\ProviderEmployeeServiceImplTest.java,ParseException,fail,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\provider\ProviderEmployeeServiceImplTest.java,ParseException,getMessage|fail,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\provider\impl\ProviderEmployeeServiceImplTest.java,IndexOutOfBoundsException,assertTrue,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\storage\impl\FileOperationsImplTest.java,Exception,,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\tool\impl\MeasuringEquipmentServiceImplTest.java,Exception,,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\test\java\com\softserve\edu\service\tool\impl\MeasuringEquipmentServiceImplTest.java,Exception,,,
